av号,播放量,标题
35924924,7446972,是普通话太烫嘴吗哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
83484866,7404726,慎入！前方极度妩媚 那些你惹不起的战斗天使 穿上高跟鞋攻击力翻倍！
41301960,7404516,【英雄联盟】2019赛季CG 《觉醒》
56444695,7318751,一步错，步步错
1615265,7242729,真的燃曲，是撕心裂肺的呐喊，还是震撼灵魂的声音【高音质27·不一样的AB】
54145990,7218558,论男人如何恶心男人
39998869,7165268,【极乐净土】别人家的超性感物理老师！【青岛实高】
57141942,7154232,你永远不知道中文的力量
54702487,7153842,【高能Rap】疯狂踩点！我们有特殊的辩论技巧！
52400918,7116626,听说这个视频是b站卧槽最多的
25103588,7103562,这个视频我可以笑一年！胆大包天的动物搞笑合集！@油兔不二字幕组
57943602,7040826,【特效向】全明星の终鸡之战
1076105,7030777,妮可 妮可 妮可
1486838,7014152,【这就是爱】如何用100秒让张杰感受UP主的爱
65790846,6988439,【蔡徐坤】芒种
37356228,6916921,央视街头采访遇到的神人神回复，简直防不胜防啊
71601833,6906154,我琢磨了两个半月 最终发现了《哪吒之魔童降世》的正确打开方式
69205620,6878997,一个会“握草”的视频
20268884,6833664,史上男女第一个零分跳水，你要是不笑我给你100块！
85965831,6804929,【抗肺炎】村长硬核广播trap《贱》
43949111,6779506,《氪不氪以》
82724200,6760157,【英雄联盟】战士 – 2020赛季CG动画
21433484,6754710,【面筋哥】 饿狼传说
64812845,6717668,人 型 音 响
70615753,6701644,【英雄联盟】2019全球总决赛MV《涅槃》
83697364,6634328,当她裙里拔枪那一刻！！世界：我赌你的枪里没有子弹！
3161283,6599226,【AMV】 点燃这绝望的火光！！！
39492241,6599080,【1080/漫威/衔接踩点向】前方高能！让人相当舒服的踩点与衔接！
67296060,6588078,人类已经无法阻止哈士奇了
369520,6535910,坚持45分钟就是神
17319556,6481668,Top 10 十大集体装逼/开大的豪华场景
85211830,6461899,姜    子    牙
35583081,6362777,［经典合集］韩红愤怒大喊：绝对假唱！赶紧滚！
58173971,6316467,青岛大学毕业典礼一首高音版《起风了》点燃全场，这才是青春该有的样子
15966743,6310549,诸葛亮的红色蜀国
7952407,6299389,两个总统的差别
75443520,6293760,学了三年动画，毕业作品被老师轰出了教室！
47714764,6220943,我一个中国人笑的浑身发抖…
17289929,6214880,外国人讲中文可以强到什么程度! 我可能遇到的是假老外！！！
38127968,6207050,巅峰时期的周杰伦有多恐怖当《七里香》前奏响起，整个亚洲疯狂
38262830,6203161,【前方高燃】当Bgm响起之时，世间无人将是我的对手！（第二期）
74572887,6187062,卢姥爷的这段把我笑抽了
7905062,6185111,【爱情公寓】我看的爱情公寓怎么有点不一样。。。
9199431,6181478,李云龙：打仗真他娘的有意思
21479207,6088491,【面筋哥】看了那么多鬼畜，快回来看看原版！
56031367,5987686,【超燃/热血】这盛世如你所愿—10分钟爆燃中国近代史电影混剪（传承先烈遗志，共筑强国盛世）
24201406,5956084,【武林外传】是男人就来溜肥肠
31244333,5945716,卢本伟被封杀前做的一件很感人的事情
55590222,5890556,采访第一个出考场的同学
51616968,5858055,终于找到这首一直喊“呐呐呐呐呐”的歌了，现场超燃，太嗨了！
76667340,5775454,英 雄 联 盟 全 英 雄 介 绍（共146个）
86493657,5727788,犬来八荒 | 大家好，我是成果，今天正式入驻B站了！
45828968,5705171,【全程高燃/综漫/燃向】见过黑暗的人 才明白什么是光明
70751971,5704211,戴上耳机，前方极度舒适！请享受用100+小时换来的视觉盛宴2分种！
16957235,5683818,国内99.99%的人都没听过的BGM，每一首都能让你循环一整天
67909295,5674366,恐 怖 之 夜
41044584,5658625,宿舍里有个声优是一种怎样的神奇体验···
84073301,5656976,祖 安 公 主
52643770,5644345,听懂的都哭了，没听懂的却在笑
66909982,5632741,荣 耀 行 刑 官
31459785,5623332,【1080/踩点/欧美/衔接向】将转场做到极致！我将实至名归！
15775625,5611459,维塔斯最高音 终于找着了 注意2分44秒谁也模仿不了 神一样的存在
11039916,5587116,《宿舍加州旅馆》原先以为是搞笑的，看了直接跪拜了
6679048,5520329,【姆爷】53届格莱美现场版！ 这辈子最喜欢的现场版没有之一
48076714,5500941,医院是个严肃的地方，可他们偏不、哈哈哈哈哈医生都要被这些患者笑死了
55279338,5494515,笑死我了
81871861,5473802,最强翻页书
12828695,5468759,《猫和老鼠》主题音乐的交响乐版。乐师们虽然竭力保持严肃，但还是有几个笑场的。
9269245,5445979,我敢打赌，你的肾脏会被笑痛
26432881,5440808,如果你家的狗喜欢玩雪，请一脚把它踢进雪堆里！！！然后...糟糕，快跑！！！
64772649,5402362,我说话只用一秒
63093166,5388465,为了报道台风，他们派出了最强吨位记者！
63051368,5367182,前方极度舒适！准备好硬币！享受极高的视觉盛宴！
68940226,5333519,史诗高能衔接！当我解开束缚的一刻，全世界将无人能与我为敌！
82282865,5325529,【全明星】火红的萨日朗
54570490,5316225,喵内~喵内~喵内~
83115815,5287503,本 尊 出 现
51629675,5266138,听完香菜唱《告白气球》，才知道宅男杀手不是白叫的！
79682376,5237771,//复仇者联盟3
35904542,5228913,陈乐一 火影主题曲《青鸟》
83529724,5217048,我就欣赏这样的男孩子。。。。
32791273,5204063,《佛说》这可能是最好听的一首喊麦歌曲了，燃到爆炸！
38517544,5203726,【全明星】逮虾户
60793018,5195690,我太难了（原版）
2554169,5193878,【24小时不循环】圆周率之歌（42万位）-葛平
71531122,5178851,事实证明，我们并不讨厌广告
48176846,5169645,台下坐的都是外国人，中国歌手一上场:“不好意思我是来砸场子的”
78354592,5156018,医 学 奇 迹
61396424,5135983,人类迷惑行为大赏
54819056,5135568,网易云看到的这个神级MV简直震撼到了歌曲名Cymatics
16907446,5123866,不要相信歌词，他们为了押韵什么都干得出来
78486370,5121761,这种课  应该没人睡觉吧
37286416,5110664,逮虾户 Deja vu ！中英双字幕MV
49594801,5092368,【1080p/全场踩点衔接/极度舒适/高燃】全场高能！极度舒适！带你享受极致踩点与衔接的视觉盛宴！十年终局，无怨无悔！
47801445,5075608,看一次笑一次！太魔性了
1018701,5018944,【克里米亚 女检察官】我有特别的卖萌技巧
86158890,4983429,我们，鬼畜区，向冠状病毒宣战！
67138390,4972585,【家有儿女】野狼disco
15845272,4932755,连锁反应我居然看了十遍
4776529,4917732,军乐队：我真是哔了李云龙了
77511727,4863901,你的甲方
81325499,4860836,老 八 最 后 一 场 直 播
78528913,4842905,当你的室友拥有老爹的声线会发生什么？挑战给30名不同的角色配音
53221071,4824985,二哈一听要把他卖掉，立马进屋把儿子叼给主人！！
51916909,4822249,前方高能！一秒燃爆！全世界都为之颤抖！
83504357,4795269,你女朋友可能是个男的.jpg【阅片无数31】
53491231,4789902,【中国女性0-100岁的美】
77117187,4779227,猛男阵亡只需3秒ψ(｀40140879
81559276,4778111,这谁受得了啊？
79028837,4761139,当你拔剑的那一刻，世界：你毛都不是！
29329812,4747883,【李云龙】卡路里？卡个屁！
80622859,4730161,《 海 王 》
59161053,4684492,说实话我的这个红衣女孩，完全没有抵抗力。
82410265,4662076,开口以为是青铜，结果是一个王者，给跪了
75957805,4661552,当你看了300遍的影流之主
71541567,4642819,2006年华语乐坛“恐怖”到什么地步？首首神曲，以为是开始没想到是巅峰！
51861511,4614630,51区希望这段视频被禁止在互联网上播放.。
63427338,4574864,草莓果酱ox   太可爱了吧，喜欢了
77680413,4574004,舔狗disco
83936625,4570650,打  上  花  火
17020055,4515763,【LexBurner】一口气全念对
35395641,4508550,邓紫棋:怎么办? 我现在慌的一匹..这tm全是老外 就我一个中国人。。。
64640899,4497736,前方高能！感受中国武术带来的视觉冲击“这就是专业！”
57855011,4474786,油管上播放8000万的中国阅兵
78173989,4461364,「黑 寡 妇」
85734125,4455607,老爹买不到口罩
52873628,4452707,揭秘！女生毁掉一个男生需要几天，教你鉴定绿茶婊！【分析内容源于知乎心理分析师宏桑】
70854454,4408244,卢本伟名场面合集
47062404,4402351,敢在女朋友面前播这段语音的都是好汉!
80837686,4399999,企   业   文   化
67639553,4376588,每天一次，防止抑郁！
78916738,4367982,人类迷惑行为！
81431485,4366359,千万不要在跟你家猫下棋的时候玩心眼。。。。
71672042,4365457,桥本环奈 日语版的《野狼disco》，很多人听着都表示恋爱了！完整版
1683004,4324907,一百块都不给我
74928014,4315431,挡住猫头鹰的眼睛会发生什么
6815293,4306826,我竟然把鬼片拿来做鬼畜！真.鬼畜
82772411,4304306,这就是抖音小姐姐推荐的零食吗？我傻了
69045071,4304185,我是你爹
58571480,4301668,同学上课睡觉被老师罚唱歌，以为是去搞笑的，没想到开口就是王者
57242438,4297368,终于找到《杀死比尔》中的口哨歌曲了，听着毛骨悚然，太经典了！
65423285,4287861,【鬼灭/全程踩点/燃】这一击赌上现在的我，献出我的一切！
54661407,4276605,问君能有几多愁，老鼠板上粘狗头！
71223424,4275601,冥  魂  大  帝
68833786,4243976,全B站最骚的广告#3
9443893,4234582,五五开看《肥蛇传》+《变形记》注：完整版
54570780,4222431,狮子:诶！怎么总感觉哪里怪怪的！
62447792,4218390,豹：这狗把爷给整懵了
61220621,4203472,【斋藤飞鸟】AWSL！一遍心动，两遍入坑，三遍血槽空！
79126156,4187789,耗时半年！只需15s！我将从你手中夺走硬币！【火影/踩点/高燃】
13653718,4166735,用老爹的语音包打电话给班主任！（极限作死）
62995726,4157375,表情包女神终于找到了
69282322,4154848,瘟  疫  之  源
73909580,4153623,【双胞胎】你姐胸口下有颗痣。
83973373,4147025,咏 春 打 狗
76450312,4128945,用四十一部动漫名拼出一首《稻香》
57039462,4128675,我佛了
77450329,4123329,饭   前   祷   告
54801316,4122524,此狗受到了一万点真实伤害
43231115,4116777,【自信姐】我觉得我很可爱~（内附高清原版素材）
85242814,4103956,（十年前）“贝爷”就告诫过我们，蝙蝠很危险！
43511859,4092278,海归女看不起中国人 被全体男嘉宾用英文嘲讽
62500227,4053013,当四大才子遇上乔碧萝
55441063,4050593,戴上耳机！高燃预警！感受全英雄台词给你带来的视听盛宴！！
71297646,4035318,【万恶之源】你是馋他的身子，你下贱《朱元璋》
74473271,4033997,【奥利给】恋爱循环
21702175,4031315,十大主角过于强大的动画
70212680,4023572,奶音版《野狼disco》——【多多翻唱】
46939952,4018124,黑人脱口秀:跟中国人打架，打完他还可能把你扶起来。
56354329,4003779,狗子：你他妈有毛病?
1676707,4003006,张全蛋在接受采访时大爆粗口
70995442,3992273,大叔翻唱《有点甜》，听了看了想打人！
9055612,3987172,【幽闭恐惧慎入】把摄影机扔进无尽深渊，拍摄到了什么？
